transaction_time,merch,cat_id,amount,name_1,name_2,gender,street,one_city,us_state,post_code,lat,lon,population_city,jobs,merchant_lat,merchant_lon,target
2019-12-27 15:21,fraud_Cormier LLC,health_fitness,148.04,Daniel,Martinez,M,8510 Acevedo Burgs,Kent,OR,97033,45.0838,-120.6649,60,Museum education officer,45.042827,-120.709327,0
2019-04-17 23:09,"fraud_Brown, Homenick and Lesch",health_fitness,39.4,Grace,Williams,F,28812 Charles Mill Apt. 628,Plantersville,AL,36758,32.6176,-86.9475,1412,Drilling engineer,31.872266,-87.828247,0
2019-09-23 15:02,fraud_Ruecker-Mayert,kids_pets,52.96,Kyle,Park,M,7507 Larry Passage Suite 859,Mount Perry,OH,43760,39.8788,-82.188,1831,Barrister's clerk,40.010874,-81.841249,0
2019-05-13 16:00,"fraud_Mante, Luettgen and Hackett",health_fitness,7.66,Monique,Martin,F,68276 Matthew Springs,Ratcliff,TX,75858,31.3833,-95.0619,43,"Engineer, production",30.888406,-95.141609,0
2019-08-18 07:27,fraud_Luettgen PLC,gas_transport,51.59,Christine,Johnson,F,8011 Chapman Tunnel Apt. 568,Blairsden-Graeagle,CA,96103,39.8127,-120.6405,1725,Chartered legal executive (England and Wales),39.376017,-121.311691,0
2019-11-04 23:09,"fraud_Fadel, Mertz and Rippin",entertainment,20.71,Julian,Price,M,086 Pierce Cove,Pikesville,MD,21208,39.3764,-76.729,33917,Company secretary,38.911237,-77.398179,0
2019-10-08 18:55,fraud_Pagac LLC,shopping_pos,7.2,Shelby,Mitchell,F,974 Cindy Stream,Brandon,VT,5733,43.8065,-73.0882,5895,"Scientist, marine",44.77507,-73.938364,0
2019-05-23 12:38,fraud_Botsford and Sons,home,21.84,Lisa,Lowe,F,574 David Locks Suite 207,Cottekill,NY,12419,41.8467,-74.1038,722,Comptroller,42.821613,-73.868873,0
2020-02-24 10:37,"fraud_Johnson, Runolfsdottir and Mayer",misc_net,66.94,Monica,Lane,F,3270 Scott Islands,East Andover,ME,4226,44.6084,-70.6993,190,Animal nutritionist,43.750842,-71.321032,0
2019-09-10 22:04,fraud_Grimes LLC,entertainment,4.52,Jerry,Robinson,M,212 Mary Stream,Arcadia,MI,49613,44.5232,-86.2061,680,"Designer, jewellery",44.191584,-86.157251,0
2019-05-06 13:17,fraud_Botsford PLC,home,113.98,Steven,Johnson,M,7470 John Tunnel Suite 937,Aurora,CO,80014,39.6662,-104.835,389246,"Scientist, marine",39.927588,-104.736107,0
2019-10-24 06:35,"fraud_Casper, Hand and Zulauf",grocery_pos,52.42,Ricky,Dunn,M,97689 Davis Point Apt. 967,Detroit,MI,48214,42.3669,-82.9938,673342,Health visitor,42.963567,-82.118548,0
2019-07-14 19:43,"fraud_Becker, Harris and Harvey",personal_care,54.8,Gloria,Wallace,F,234 Bridges Wells Apt. 389,Center Tuftonboro,NH,3816,43.6849,-71.2551,1368,"Optician, dispensing",44.449231,-70.663027,0
2019-07-22 07:34,fraud_Gerlach Inc,shopping_net,56.25,John,Hudson,M,886 Nicole Key,Stillwater,OK,74074,36.1043,-97.0609,55345,Cabin crew,35.812892,-97.06906,0
2020-03-02 19:18,fraud_Romaguera Ltd,health_fitness,49.88,Patrick,Vaughan,M,651 Miller Common,Parsonsfield,ME,4047,43.745,-70.9092,1892,Audiological scientist,44.198277,-70.197519,0
2019-09-14 19:25,fraud_Abernathy and Sons,food_dining,49.55,Joseph,Davis,M,941 Adam Stravenue,Nazareth,TX,79063,34.5444,-102.1069,686,Petroleum engineer,35.02627,-101.153133,0
2019-11-10 11:00,"fraud_Douglas, Schneider and Turner",shopping_pos,10.24,Christie,Mendoza,F,53142 Katrina Roads Suite 889,Monitor,WA,98836,47.4852,-120.4158,584,Medical technical officer,48.169928,-119.624628,0
2019-04-06 07:57,fraud_Friesen-Stamm,gas_transport,69.22,Jeffery,Brown,M,296 Maria Street,West Eaton,NY,13484,42.8546,-75.6605,176,Science writer,43.661524,-76.36613,0
2019-12-14 14:40,fraud_Block Group,misc_pos,1.66,Lindsay,Wilson,F,7618 Gonzales Mission,Centerview,MO,64019,38.7897,-93.8702,2368,Electronics engineer,39.116849,-93.292255,0
